Id,Predicted
1,206
2,1353
3,4446
4,4185
5,8297
6,6647
7,3889
8,679
9,476
10,8370
11,2136
12,1624
13,5363
14,1168
15,3936
16,8995
17,8094
18,5698
19,7806
20,4769
21,9365
22,8094
23,7647
24,8704
25,427
26,4253
27,4551
28,8739
29,8347
30,3443
31,2587
32,2059
33,9442
34,2341
35,7487
36,151
37,8288
38,510
39,6475
40,6455
41,6128
42,1504
43,7795
44,2989
45,4911
46,4016
47,6762
48,9492
49,6445
50,8329
51,5524
52,1420
53,839
54,3364
55,2592
56,6087
57,6455
58,1881
59,4375
60,6065
61,5641
62,4316
63,502
64,5801
65,1153
66,3888
67,5773
68,4601
69,1509
70,2136
71,7176
72,9758
73,6732
74,4185
75,3040
76,1160
77,5901
78,1491
79,412
80,8535
81,4925
82,6457
83,1646
84,9539
85,2686
86,7419
87,3307
88,2827
89,579
90,7479
91,9956
92,3147
93,8665
94,8288
95,3699
96,3101
97,9353
98,5328
99,2826
100,579
101,9219
102,5337
103,3794
104,7610
105,2714
106,1523
107,6019
108,5396
109,7505
110,2400
111,593
112,9098
113,7537
114,1196
115,5537
116,6156
117,9246
118,8429
119,5141
120,1504
121,7509
122,1557
123,8704
124,5684
125,5523
126,3936
127,8167
128,3912
129,8933
130,5884
131,3689
132,1350
133,4621
134,7337
135,4374
136,8432
137,4185
138,2440
139,6929
140,8654
141,4027
142,6188
143,5898
144,256
145,966
146,2393
147,4935
148,73
149,1072
150,7879
151,8257
152,5221
153,8294
154,9661
155,7358
156,3717
157,5506
158,3066
159,4853
160,3017
161,8931
162,9183
163,571
164,2460
165,7295
166,7487
167,3151
168,449
169,4736
170,2225
171,4079
172,1353
173,1784
174,3376
175,8129
176,6522
177,3307
178,3151
179,2067
180,3472
181,8640
182,5807
183,4615
184,263
185,8897
186,7918
187,8748
188,4367
189,2473
190,4982
191,8779
192,2205
193,7698
194,8813
195,2876
196,6288
197,7179
198,9981
199,9148
200,5801
201,3105
202,8839
203,7054
204,9565
205,3768
206,9869
207,7289
208,3891
209,7051
210,1613
211,5713
212,7952
213,8019
214,3217
215,1416
216,7029
217,2826
218,7546
219,5125
220,1885
221,1303
222,7533
223,4079
224,5907
225,5246
226,3699
227,2497
228,7448
229,5092
230,2418
231,1825
232,5407
233,9613
234,193
235,19
236,3424
237,2481
238,9443
239,839
240,2590
241,2522
242,1224
243,8414
244,7693
245,1291
246,273
247,8250
248,3007
249,7743
250,5516
251,762
252,1516
253,2859
254,7935
255,6166
256,4052
257,8995
258,7952
259,5006
260,495
261,5651
262,212
263,1822
264,2886
265,9358
266,4769
267,1303
268,7368
269,1994
270,1940
271,6183
272,5288
273,1152
274,8116
275,2491
276,1350
277,4617
278,8642
279,2986
280,1006
281,1883
282,5864
283,3377
284,319
285,9289
286,4562
287,9351
288,4099
289,5125
290,933
291,1483
292,6861
293,6579
294,212
295,4437
296,7775
297,7315
298,2350
299,3957
300,346
301,1416
302,5589
303,3688
304,1896
305,1561
306,4025
307,3688
308,5293
309,5231
310,7656
311,6006
312,1318
313,6257
314,162
315,1291
316,6489
317,3017
318,5588
319,9434
320,1024
321,4232
322,985
323,5843
324,8722
325,9543
326,2194
327,314
328,1323
329,9661
330,4427
331,8458
332,2267
333,7254
334,9907
335,9062
336,87
337,7479
338,3343
339,8248
340,1455
341,2986
342,1896
343,4366
344,5757
345,2374
346,7746
347,5655
348,1138
349,7775
350,1171
351,3381
352,5965
353,476
354,5588
355,1758
356,7487
357,9030
358,4139
359,4253
360,7968
361,2027
362,3706
363,3688
364,6898
365,902
366,3688
367,2000
368,207
369,5698
370,3688
371,5588
372,4769
373,5258
374,4859
375,8176
376,9126
377,73
378,1633
379,3933
380,8483
381,6834
382,3936
383,1626
384,4850
385,5589
386,5536
387,6270
388,8775
389,8364
390,8192
391,3237
392,1350
393,8981
394,9778
395,1541
396,4218
397,5350
398,9787
399,7639
400,7668
401,2587
402,2873
403,4185
404,9316
405,8731
406,1350
407,9889
408,3613
409,1784
410,1017
411,6841
412,7736
413,9839
414,3377
415,6718
416,6455
417,193
418,7482
419,2593
420,4232
421,2252
422,1327
423,852
424,7254
425,9570
426,9605
427,9599
428,8579
429,9565
430,564
431,4185
432,7537
433,1541
434,3885
435,3951
